Country,2004,2005,2006,2007,2008
North America,4760.46014,4894.58787,4902.00389,5029.98306,4998.17814
Bermuda,0.62716,0.65244,0.6664,0.67555,0.68432
Canada,581.8188,607.581,597.6655,622.9572,632.227
Greenland,0.295,0.3,0.305,0.325,0.31033
Mexico,207.11491,230.58068,238.61376,249.22834,245.51648
Saint Pierre and Miquelon,0.049,0.051,0.051,0.052,0.053
United States,3970.55526,4055.42275,4064.70223,4156.74497,4119.387
Central & South America,881.77413,914.54889,959.29795,1004.25308,1039.24765
Antarctica,0,0,0,0,0
Antigua and Barbuda,0.104,0.107,0.109,0.111,0.115
Argentina,95.56147,100.62928,109.78829,109.51081,115.41894
Aruba,0.813,0.855,0.854,0.88,0.91
"Bahamas, The",1.7947,1.8944,1.92758,2.04521,2.05
Barbados,0.896,0.953,0.9764,1.0029,1.011
Belize,0.14207,0.15013,0.20787,0.21348,0.21545
Bolivia,4.49542,4.89376,5.24562,5.56991,5.9817
Brazil,381.0611,396.5084,412.59816,438.10764,454.82956
Cayman Islands,0.48563,0.394,0.486,0.546,0.578
Chile,52.6974,54.2281,56.9071,60.2307,60.281
Colombia,49.255,50.5163,51.8308,50.57798,51.01477
Costa Rica,8.056,8.1242,8.5219,8.861,9.2895
Cuba,14.70572,14.43,15.4895,16.88719,16.9904
Dominica,0.076,0.081,0.082,0.082,0.087
Dominican Republic,13.014,12.2205,13.3885,14.0361,14.5765
Ecuador,12.20034,12.981,13.3959,15.645,18.0611
El Salvador,4.26205,4.58585,5.3703,5.5603,5.7208
Falkland Islands (Islas Malvinas),0.015,0.015,0.016,0.016,0.017
French Guiana,0.404,0.404,0.404,0.409,0.415
Grenada,0.15,0.14731,0.16716,0.17867,0.18983
Guadeloupe,1.109,1.119,1.152,1.153,1.2
Guatemala,6.763,7.2992,7.6428,8.4253,8.3954
Guyana,0.785,0.809,0.814,0.814,0.82
Haiti,0.527,0.536,0.549,0.448,0.466
Honduras,4.6382,5.3178,5.7279,6.0686,6.2611
Jamaica,6.792,6.9855,7.0339,7.324,7.3232
Martinique,1.123,1.133,1.142,1.152,1.165
Montserrat,0.02,0.02,0.02,0.021,0.022
Netherlands Antilles,1.137,1.173,1.145,1.181,1.167
Nicaragua,2.673,2.94635,3.02293,3.28634,3.41928
Panama,5.605,5.6638,5.809,6.271,6.2431
Paraguay,51.417,50.657,53.249,53.191,54.912
Peru,23.839,25.3219,26.7053,29.1175,31.9212
Puerto Rico,24.135,24.96228,23.837,22.305,20.921
Saint Kitts and Nevis,0.122,0.125,0.127,0.129,0.13
Saint Lucia,0.29003,0.3042,0.31091,0.32496,0.3312
Saint Vincent/Grenadines,0.114,0.12584,0.12696,0.13376,0.13197
Suriname,1.457,1.518,1.563,1.563,1.58
Trinidad and Tobago,6.0448,6.6329,6.6227,7.2026,7.4185
Turks and Caicos Islands,0.11,0.124,0.149,0.171,0.175
Uruguay,5.7852,7.5572,5.4617,9.2653,8.4736
Venezuela,96.07,99.203,108.412,113.319,118.13
